state_abbr,state,county,geoid,county_label,total_population,adult_population,obesity,diabetes,current_smoking,physical_inactivity,poor_mental_health,food_insecurity
MS,Mississippi,Holmes,28051,"Holmes, MS",16121,12171,52.2,21.7,23.3,42.8,19.4,35.2
MS,Mississippi,Jefferson,28063,"Jefferson, MS",7087,5529,51.7,22.1,20.9,39.6,17.6,38.3
LA,Louisiana,East Carroll,22035,"East Carroll, LA",6990,5567,50.9,21.1,27.9,42,23.8,NA
AR,Arkansas,Phillips,05107,"Phillips, AR",15304,11406,50.7,22.2,23.6,43.6,21.8,NA
MS,Mississippi,Humphreys,28053,"Humphreys, MS",7333,5516,50.6,23.7,24.8,45.6,19.5,41.7
AL,Alabama,Greene,01063,"Greene, AL",7422,5801,50.4,24.9,22,42.1,20.3,35.5
MS,Mississippi,Quitman,28119,"Quitman, MS",5701,4388,50.3,21.6,22.9,40.9,19.1,38.7
MS,Mississippi,Tunica,28143,"Tunica, MS",9458,6844,50.2,19.8,24,42.3,20.3,35.4
AL,Alabama,Dallas,01047,"Dallas, AL",36767,28171,50.2,21.4,18.9,36.3,19.4,27.8
AL,Alabama,Bullock,01011,"Bullock, AL",10202,8049,49.6,22.4,24.6,41,21.5,37.2
MS,Mississippi,Sharkey,28125,"Sharkey, MS",3488,2649,49.6,24.1,23.8,45.5,18.8,35.3
AL,Alabama,Lowndes,01085,"Lowndes, AL",9777,7650,49.4,22.7,21.6,38.7,20.2,31.9
MS,Mississippi,Claiborne,28021,"Claiborne, MS",8805,6919,49.2,19.6,18.4,37.4,19,35.9
MS,Mississippi,Wilkinson,28157,"Wilkinson, MS",8143,6501,49.1,20,22.5,39.1,17.6,29
ND,North Dakota,Sioux,38085,"Sioux, ND",3711,2392,49,19.1,36.5,42.7,24.8,NA
OH,Ohio,Meigs,39105,"Meigs, OH",21969,17454,49,16.7,24.7,33,21.5,15.3
TX,Texas,Dimmit,48127,"Dimmit, TX",8387,6002,49,23.7,20,47.5,20.8,43.6
SC,South Carolina,Lee,45061,"Lee, SC",16153,13080,48.6,19,22.9,36.3,19.2,32.9
AL,Alabama,Perry,01105,"Perry, AL",8035,6354,48.3,22,21.1,39.5,21.4,33.2
LA,Louisiana,St. Landry,22097,"St. Landry, LA",81773,60183,48.1,17.3,22.5,35.7,21.5,NA
GA,Georgia,Macon,13193,"Macon, GA",11765,9604,48.1,20.3,25.7,42.4,20.6,34.4
GA,Georgia,Bibb,13021,"Bibb, GA",156197,118426,48.1,15.7,17.5,32.8,18.5,28.2
AL,Alabama,Wilcox,01131,"Wilcox, AL",10059,7838,47.8,23.1,23.6,42.6,21.6,36.1
MS,Mississippi,Coahoma,28027,"Coahoma, MS",20197,14716,47.8,21.7,23.2,42.5,19.3,33.2
NE,Nebraska,Thurston,31173,"Thurston, NE",6507,4191,47.7,14.7,22.9,31.4,18.8,23.3
TN,Tennessee,Hardeman,47069,"Hardeman, TN",25529,20600,47.5,17.1,24,34.6,20.6,25.3
TX,Texas,Willacy,48489,"Willacy, TX",20143,15352,47.4,19.5,16.7,39.8,19.8,34.8
MS,Mississippi,Sunflower,28133,"Sunflower, MS",24811,19533,47.3,18.3,22.5,39.4,18.6,35.4
LA,Louisiana,Madison,22065,"Madison, LA",9478,7107,47.3,21.3,25.4,40.3,22.6,NA
OK,Oklahoma,Hughes,40063,"Hughes, OK",13407,10481,47.3,16.1,21.9,37.8,20.8,22.5
GA,Georgia,Randolph,13243,"Randolph, GA",6116,4838,47.3,23.6,23.7,44.3,19.9,31.9
SC,South Carolina,Williamsburg,45089,"Williamsburg, SC",30058,24305,47.2,18,20.1,35.8,17.9,26.9
TX,Texas,Kenedy,48261,"Kenedy, TX",358,297,47.2,26,26.1,49.3,22.5,40.7
AL,Alabama,Russell,01113,"Russell, AL",58555,44348,47.1,17.5,20.3,33.9,20.7,26.3
GA,Georgia,Wheeler,13309,"Wheeler, GA",7314,6140,47.1,16.3,24.4,34.6,19.6,27.5
GA,Georgia,Hancock,13141,"Hancock, GA",8387,7156,47.1,21.1,21.3,37.8,17.9,31.7
TX,Texas,Zavala,48507,"Zavala, TX",9377,6644,47,21,17,43,20.3,37.9
MS,Mississippi,Chickasaw,28017,"Chickasaw, MS",16812,12664,46.9,17.7,21.3,38.8,18.5,26.7
OH,Ohio,Columbiana,39029,"Columbiana, OH",100511,80353,46.9,15.4,21.6,29.7,19.9,11.9
GA,Georgia,Terrell,13273,"Terrell, GA",8754,6837,46.8,19.6,21.3,37.3,19,30.3
TX,Texas,Starr,48427,"Starr, TX",65728,44564,46.8,20.5,17.7,43.3,21.3,39.1
TX,Texas,Hidalgo,48215,"Hidalgo, TX",888367,614711,46.8,18.5,16.5,39,20.4,38.5
OH,Ohio,Allen,39003,"Allen, OH",101115,77523,46.6,15.2,21.5,31.9,20.3,13.5
VA,Virginia,Greensville,51081,"Greensville, VA",11226,9403,46.6,16.9,20.1,29,18.7,NA
GA,Georgia,Calhoun,13037,"Calhoun, GA",5469,4621,46.6,17.6,23.7,37,19.6,31.8
WV,West Virginia,Wyoming,54109,"Wyoming, WV",20527,16445,46.6,19.3,27.2,40.3,23.2,18.4
KY,Kentucky,Lewis,21135,"Lewis, KY",12954,10047,46.6,17.7,25.8,36.1,20,23
MS,Mississippi,Noxubee,28103,"Noxubee, MS",9990,7455,46.5,19.5,21,38.4,18.1,32.4
VA,Virginia,Emporia,51595,"Emporia, VA",5481,4107,46.5,20.2,20.7,34.8,20.3,NA
VA,Virginia,Franklin,51620,"Franklin, VA",8247,6057,46.5,18.3,17.8,29.5,18.8,NA
TX,Texas,Cameron,48061,"Cameron, TX",425208,303786,46.4,20.5,16.4,41.2,19.8,34.2
GA,Georgia,Mitchell,13205,"Mitchell, GA",21116,16346,46.4,17.7,20.8,35.7,19.4,26
LA,Louisiana,Red River,22081,"Red River, LA",7420,5694,46.3,18.3,23.2,37,21.1,NA
MS,Mississippi,Hinds,28049,"Hinds, MS",217730,167418,46.3,17.5,19.9,36.4,18.4,23.7
AL,Alabama,Marengo,01091,"Marengo, AL",18745,14573,46.2,19.1,19.9,35.3,19.4,24.6
VA,Virginia,Petersburg,51730,"Petersburg, VA",33394,25514,46.2,18.8,17.7,29.9,18.9,NA
LA,Louisiana,Tensas,22107,"Tensas, LA",3846,3034,46.1,24.6,26.3,44.7,21.3,NA
SC,South Carolina,Orangeburg,45075,"Orangeburg, SC",83094,65407,46.1,18.4,18.3,32.6,18,28.8
LA,Louisiana,Sabine,22085,"Sabine, LA",21985,16936,46.1,17.4,22,34.8,21,NA
OH,Ohio,Seneca,39147,"Seneca, OH",54632,43023,46,14.1,20.8,29,20.2,10.6
LA,Louisiana,Bienville,22013,"Bienville, LA",12641,9770,46,20.4,25.3,39.7,21.7,NA
MS,Mississippi,Panola,28107,"Panola, MS",32661,24739,46,18.3,20.7,38.2,18.2,23.8
GA,Georgia,Tattnall,13267,"Tattnall, GA",24064,19171,46,14.3,20.1,32.9,19,24.1
AL,Alabama,Choctaw,01023,"Choctaw, AL",12439,9977,46,20.3,20.2,36.9,19.3,23.1
AL,Alabama,Macon,01087,"Macon, AL",18516,15413,46,20.2,17.6,36.5,20.7,30
SC,South Carolina,Marlboro,45069,"Marlboro, SC",26039,20850,46,18.7,25,38.5,19.8,31.7
MS,Mississippi,Scott,28123,"Scott, MS",27707,20035,45.9,18.3,21,38.4,18.1,29.4
LA,Louisiana,Evangeline,22039,"Evangeline, LA",31986,23976,45.9,17.4,25.7,38.4,23.7,NA
MS,Mississippi,Copiah,28029,"Copiah, MS",27719,21622,45.8,17.6,17.8,34.8,17,27.1
GA,Georgia,Telfair,13271,"Telfair, GA",12354,10485,45.7,17.8,21.7,37.9,18.5,32.3
LA,Louisiana,Iberville,22047,"Iberville, LA",29506,23540,45.7,16,21.8,34.3,20.8,NA
LA,Louisiana,St. Helena,22091,"St. Helena, LA",10822,8642,45.7,18.4,21.4,36.1,20.4,NA
SD,South Dakota,Corson,46031,"Corson, SD",3826,2457,45.7,16.1,26.9,34,19.1,NA
LA,Louisiana,Avoyelles,22009,"Avoyelles, LA",38751,29628,45.6,17.3,24.1,37.7,22.7,NA
LA,Louisiana,Caddo,22017,"Caddo, LA",229025,175805,45.6,17.2,19.4,31.1,20.2,NA
GA,Georgia,Clayton,13063,"Clayton, GA",296564,217328,45.6,14.9,18,33.9,19,35.3
MS,Mississippi,Yazoo,28163,"Yazoo, MS",25948,20365,45.6,17.1,23.6,38.3,18.6,31.4
WI,Wisconsin,Shawano,55115,"Shawano, WI",40886,32289,45.6,12.3,17.4,24.4,16,11.9
AL,Alabama,Chambers,01017,"Chambers, AL",34088,27025,45.6,18.2,20.6,35.7,20.1,24.6
OK,Oklahoma,Kiowa,40075,"Kiowa, OK",8345,6317,45.6,17.2,21.2,38.6,19.8,17.8
VA,Virginia,Hopewell,51670,"Hopewell, VA",22962,17181,45.5,17.9,22,32.4,21.8,NA
LA,Louisiana,Webster,22119,"Webster, LA",35643,27638,45.5,19,23.9,36.8,21.6,NA
OH,Ohio,Adams,39001,"Adams, OH",27420,20825,45.5,16.4,24.1,32.6,21.5,15.7
AK,Alaska,Kusilvak,02158,"Kusilvak, AK",8278,4793,45.5,15.6,38.2,38.8,26.2,45.8
MS,Mississippi,Kemper,28069,"Kemper, MS",8654,7134,45.4,17.5,17.4,35,16.9,25.2
WV,West Virginia,Wayne,54099,"Wayne, WV",37998,30407,45.4,17.1,22.7,33.6,22.4,13.9
TX,Texas,Zapata,48505,"Zapata, TX",13849,9400,45.4,22,19.9,46.7,21.4,43.8
MS,Mississippi,Montgomery,28097,"Montgomery, MS",9530,7375,45.4,20.8,21.7,40.8,18.1,25.1
WV,West Virginia,Hancock,54029,"Hancock, WV",28172,23036,45.3,16.8,20.8,33.3,20,12
NE,Nebraska,Dakota,31043,"Dakota, NE",21042,14922,45.3,13.6,17,34,15.4,20.4
KY,Kentucky,Magoffin,21153,"Magoffin, KY",11357,8811,45.3,18.6,27.7,38.3,20,28
OK,Oklahoma,Choctaw,40023,"Choctaw, OK",14358,10797,45.3,17.1,21.2,36.6,20,20.9
MS,Mississippi,Pike,28113,"Pike, MS",39644,29629,45.3,18.3,21.7,36.9,18.9,29.9
MS,Mississippi,Leflore,28083,"Leflore, MS",26570,19181,45.3,20.6,24.6,43.2,20.6,36.1
ND,North Dakota,Rolette,38079,"Rolette, ND",11933,7972,45.2,16.7,28.3,33.9,20.3,NA
OK,Oklahoma,Jefferson,40067,"Jefferson, OK",5389,4067,45.2,16.6,20,36.9,19.6,18.8
MS,Mississippi,Bolivar,28011,"Bolivar, MS",29370,22209,45.2,17.6,16.3,33.1,16.2,32.4
OK,Oklahoma,Latimer,40077,"Latimer, OK",9630,7458,45.2,17.2,22.7,37.8,21.3,20.8
MS,Mississippi,Leake,28079,"Leake, MS",21135,16333,45.2,18.1,21.6,36.1,17.6,24.6
SC,South Carolina,Clarendon,45027,"Clarendon, SC",30913,25332,45.1,17.6,18,32.9,16.6,20.4
AR,Arkansas,Desha,05041,"Desha, AR",10771,8099,45.1,21.5,25.2,42.4,22.1,NA
MO,Missouri,Stoddard,29207,"Stoddard, MO",28377,22244,45.1,14.1,24.7,33.9,19.6,14.6
GA,Georgia,Clinch,13065,"Clinch, GA",6662,4989,45.1,16.5,22.6,37.3,21.1,27.9
MS,Mississippi,Grenada,28043,"Grenada, MS",21088,16046,45.1,17.4,21.3,37.8,17.7,22.5
KY,Kentucky,Wolfe,21237,"Wolfe, KY",6400,4968,45.1,20.2,30.4,40.2,22,33.8
GA,Georgia,Rockdale,13247,"Rockdale, GA",94984,72552,45.1,15.4,15.3,29.4,16.6,21.9
WV,West Virginia,Lincoln,54043,"Lincoln, WV",19901,15573,45.1,18.6,26.5,37.5,22.6,18.9
MN,Minnesota,Lyon,27083,"Lyon, MN",25262,18614,45.1,11,15.1,22.5,15.9,10.6
MS,Mississippi,Wayne,28153,"Wayne, MS",19681,14839,45,16.1,19.4,34.3,17.1,22.5
AL,Alabama,Butler,01013,"Butler, AL",18650,14473,45,18.2,19.5,36.2,19.5,24.2
KY,Kentucky,Harlan,21095,"Harlan, KY",25662,19587,45,17.9,27.2,37,20.9,25.9
IA,Iowa,Louisa,19115,"Louisa, IA",10677,8391,45,14.4,19.2,34.7,15.4,14.3
VA,Virginia,Danville,51590,"Danville, VA",42229,32917,45,20,20.9,35.1,20.6,NA
VA,Virginia,Portsmouth,51740,"Portsmouth, VA",97029,74842,45,15.4,17,26.9,19.3,NA
GA,Georgia,Burke,13033,"Burke, GA",24388,18410,45,15.8,18.5,31.1,18.4,25.3
WI,Wisconsin,Jackson,55053,"Jackson, WI",20836,16396,44.9,12.2,18.8,26.1,16.5,13.2
KY,Kentucky,Fulton,21075,"Fulton, KY",6382,5061,44.9,18.8,25.9,37,19.8,22.9
LA,Louisiana,Claiborne,22027,"Claiborne, LA",13744,11123,44.9,21.5,27.2,41.8,21.8,NA
AR,Arkansas,Lee,05077,"Lee, AR",8364,6854,44.9,20,25.7,40.9,21.3,NA
OH,Ohio,Lawrence,39087,"Lawrence, OH",56653,44509,44.9,15.6,22.8,34,21.3,14
OH,Ohio,Marion,39101,"Marion, OH",64642,50880,44.9,14.7,21.6,28.2,20.5,17.6
OK,Oklahoma,McCurtain,40089,"McCurtain, OK",30931,22781,44.9,16.9,23.1,39.2,21.5,20.7
MS,Mississippi,Tallahatchie,28135,"Tallahatchie, MS",12035,9630,44.8,17.8,22.3,38.4,18,28.9
KS,Kansas,Montgomery,20125,"Montgomery, KS",30996,23679,44.8,14.7,20.5,29.8,17.4,13.8
SC,South Carolina,Colleton,45029,"Colleton, SC",38599,29881,44.8,16.9,20.3,32.8,18,20.1
LA,Louisiana,Franklin,22041,"Franklin, LA",19308,14461,44.8,17.7,23.7,36.7,21.6,NA
KS,Kansas,Seward,20175,"Seward, KS",21358,14775,44.7,14,16.2,34.1,17.5,24.1
WV,West Virginia,McDowell,54047,"McDowell, WV",17850,14234,44.7,22.8,27.4,41.7,23.2,25.4
